Link type,Is nofollow,Source URL,Source HTTP status code,Target URL,Target HTTP status code,Target no-crawl reason,Anchor,Alt attribute,Hreflang attribute,Is source canonical,Is source noindex,Is target canonical,Is target noindex,Is link self-referencing,Target URL type,Is source internal
Href link,false,https://www.newyorkspecialed.net/districts/nyc-district-02-upper-east-side,200,https://www.newyorkspecialed.net/districts/parent-advocacy-guide.html,404,,"📋 Advocacy Guide CSE pitfalls, parent rights, IEP strategies, and FAQ.",,,false,false,true,false,false,Other,true
Href link,false,https://www.newyorkspecialed.net/districts/nyc-district-05-central-harlem,200,https://www.newyorkspecialed.net/districts/parent-advocacy-guide.html,404,,"📋 Advocacy Guide CSE pitfalls, parent rights, IEP strategies, and FAQ.",,,false,false,true,false,false,Other,true
Href link,false,https://www.newyorkspecialed.net/districts/nyc-district-06-washington-heights,200,https://www.newyorkspecialed.net/districts/parent-advocacy-guide.html,404,,"📋 Advocacy Guide CSE pitfalls, parent rights, IEP strategies, and FAQ.",,,false,false,true,false,false,Other,true
Href link,false,https://www.newyorkspecialed.net/districts/nyc-district-04-east-harlem,200,https://www.newyorkspecialed.net/districts/parent-advocacy-guide.html,404,,"📋 Advocacy Guide CSE pitfalls, parent rights, IEP strategies, and FAQ.",,,false,false,true,false,false,Other,true
Href link,false,https://www.newyorkspecialed.net/districts/nyc-district-01-lower-east-side,200,https://www.newyorkspecialed.net/districts/parent-advocacy-guide.html,404,,"📋 Advocacy Guide CSE pitfalls, parent rights, IEP strategies, and FAQ.",,,false,false,true,false,false,Other,true
Href link,false,https://www.newyorkspecialed.net/districts/nyc-district-20-bay-ridge,200,https://www.newyorkspecialed.net/districts/parent-advocacy-guide.html,404,,"📋 Advocacy Guide CSE pitfalls, parent rights, IEP strategies, and FAQ.",,,false,false,true,false,false,Other,true
Href link,false,https://www.newyorkspecialed.net/districts/nyc-district-30-astoria,200,https://www.newyorkspecialed.net/districts/parent-advocacy-guide.html,404,,"📋 Advocacy Guide CSE pitfalls, parent rights, IEP strategies, and FAQ.",,,false,false,true,false,false,Other,true
Href link,false,https://www.newyorkspecialed.net/districts/nyc-district-22-midwood,200,https://www.newyorkspecialed.net/districts/parent-advocacy-guide.html,404,,"📋 Advocacy Guide CSE pitfalls, parent rights, IEP strategies, and FAQ.",,,false,false,true,false,false,Other,true
Href link,false,https://www.newyorkspecialed.net/districts/syracuse-city-sd,200,https://www.newyorkspecialed.net/districts/parent-advocacy-guide.html,404,,"📋 Advocacy Guide CSE pitfalls, parent rights, IEP strategies, and FAQ.",,,false,false,true,false,false,Other,true
Href link,false,https://www.newyorkspecialed.net/districts/nyc-district-31-staten-island,200,https://www.newyorkspecialed.net/districts/parent-advocacy-guide.html,404,,"📋 Advocacy Guide CSE pitfalls, parent rights, IEP strategies, and FAQ.",,,false,false,true,false,false,Other,true
Href link,false,https://www.newyorkspecialed.net/districts/buffalo-city-sd,200,https://www.newyorkspecialed.net/districts/parent-advocacy-guide.html,404,,"📋 Advocacy Guide CSE pitfalls, parent rights, IEP strategies, and FAQ.",,,false,false,true,false,false,Other,true
Href link,false,https://www.newyorkspecialed.net/districts/nyc-district-15-park-slope,200,https://www.newyorkspecialed.net/districts/parent-advocacy-guide.html,404,,"📋 Advocacy Guide CSE pitfalls, parent rights, IEP strategies, and FAQ.",,,false,false,true,false,false,Other,true
Href link,false,https://www.newyorkspecialed.net/districts/yonkers-city-sd,200,https://www.newyorkspecialed.net/districts/parent-advocacy-guide.html,404,,"📋 Advocacy Guide CSE pitfalls, parent rights, IEP strategies, and FAQ.",,,false,false,true,false,false,Other,true
Href link,false,https://www.newyorkspecialed.net/districts/albany-city-sd,200,https://www.newyorkspecialed.net/districts/parent-advocacy-guide.html,404,,"📋 Advocacy Guide CSE pitfalls, parent rights, IEP strategies, and FAQ.",,,false,false,true,false,false,Other,true
Href link,false,https://www.newyorkspecialed.net/districts/nyc-district-26-bayside,200,https://www.newyorkspecialed.net/districts/parent-advocacy-guide.html,404,,"📋 Advocacy Guide CSE pitfalls, parent rights, IEP strategies, and FAQ.",,,false,false,true,false,false,Other,true
Href link,false,https://www.newyorkspecialed.net/districts/rochester-city-sd,200,https://www.newyorkspecialed.net/districts/parent-advocacy-guide.html,404,,"📋 Advocacy Guide CSE pitfalls, parent rights, IEP strategies, and FAQ.",,,false,false,true,false,false,Other,true
Href link,false,https://www.newyorkspecialed.net/districts/nyc-district-75,200,https://www.newyorkspecialed.net/districts/parent-advocacy-guide.html,404,,"📋 Advocacy Guide CSE pitfalls, parent rights, IEP strategies, and FAQ.",,,false,false,true,false,false,Other,true
Href link,false,https://www.newyorkspecialed.net/districts/nyc-district-03-upper-west-side,200,https://www.newyorkspecialed.net/districts/parent-advocacy-guide.html,404,,"📋 Advocacy Guide CSE pitfalls, parent rights, IEP strategies, and FAQ.",,,false,false,true,false,false,Other,true
Href link,false,https://www.newyorkspecialed.net/districts/nyc-district-13-brooklyn-heights,200,https://www.newyorkspecialed.net/districts/parent-advocacy-guide.html,404,,"📋 Advocacy Guide CSE pitfalls, parent rights, IEP strategies, and FAQ.",,,false,false,true,false,false,Other,true
Href link,false,https://www.newyorkspecialed.net/districts/nyc-district-24-maspeth,200,https://www.newyorkspecialed.net/districts/parent-advocacy-guide.html,404,,"📋 Advocacy Guide CSE pitfalls, parent rights, IEP strategies, and FAQ.",,,false,false,true,false,false,Other,true
